# {"analyzer":"char_wb","feature_count":30000,"format":"armorer_native_linear_tfidf_v1","intercepts":[-1.1839083824695178,-7.725111325800931,-5.398444811609162,-5.926114894318232,-5.984136354105322,-5.46617221122413],"labels":["prompt_injection","system_prompt_extraction","data_exfiltration","sensitive_data_request","safety_bypass","destructive_command"],"lowercase":true,"model_name":"char-wb-public-distill-30k-v1","ngram_range":[3,5],"norm":"l2","smooth_idf":true,"source_model":"models/semantic_experiments/char-wb-public-distill-30k-v1/semantic_classifier.joblib","sublinear_tf":false,"threshold":0.65,"token_pattern":"(?u)\\b\\w\\w+\\b","use_idf":true}
# term	idf	coef_prompt_injection	coef_system_prompt_extraction	coef_data_exfiltration	coef_sensitive_data_request	coef_safety_bypass	coef_destructive_command
 #29	6.92021138879	0.00336861383722	-0.000749735865485	-0.000820187974408	-0.000714792880672	-0.000774665189232	-0.000950231816457
 #296	7.60700934167	0.00221402368089	-0.000789466884994	-0.000789344647366	-0.000697253047579	-0.000717537907671	-0.000956746596136
 #2a	6.58738546432	0.00959817580178	-0.00246887920361	-0.00401057292053	-0.00286787458923	-0.00327417364656	-0.00463879951958
 #2a2	6.89505282916	0.00803983679315	-0.00231417527024	-0.00305476982371	-0.0021755425449	-0.00240927468548	-0.0031099589865
 #2c	6.5965598406	0.00783297983106	-0.00082328175721	-0.00239210343484	-0.00239011143255	-0.0017494937433	-0.00322691460028
 #2c3	6.91386216111	0.00679638925771	-0.000662125327742	-0.00176863915184	-0.00198163617527	-0.00136113130587	-0.00233984688576
 #2d	7.37128700815	0.00295103942478	-0.00024547155612	-0.00111262698791	-0.000652671911848	-0.000670276292737	-0.000715910091596
 #2f	6.91386216111	0.0042927129898	-0.000772785386453	-0.00206649757124	-0.00218014285338	-0.00173230331719	-0.00166375291162
 #2f3	6.94601927275	0.00423790267725	-0.000766541938188	-0.00205310413608	-0.00217630624048	-0.00172542515872	-0.00165206816683
 #3	4.29905676363	0.0999144020713	-0.0149377479499	-0.0284015304507	-0.032549373987	-0.0263202059581	-0.0285388824061
 #30	5.95059122032	0.0058152153588	-0.00175705853461	-0.00242920397524	-0.00368199581873	-0.00215546420339	-0.00282545069455
 #303	6.01031045502	0.00577149995046	-0.00176847040201	-0.00241369248616	-0.00370652093612	-0.00216521024495	-0.00284278226896
 #32	8.04463156142	0.0050857978098	-0.000671749651129	-0.00192122663967	-0.00136487445273	-0.00216063667558	-0.00162857410678
 #323	8.19226756022	0.0050881872086	-0.000682812835356	-0.00193280812408	-0.00138652305037	-0.00219386392146	-0.00165433118631
 #33	5.27449682814	0.0397729261565	-0.0038491137847	-0.0121335784802	-0.0145438604054	-0.0093337239139	-0.0111645636589
 #333	5.3457738085	0.0395365822045	-0.00379647768725	-0.0120189023114	-0.0144756392884	-0.00915229556356	-0.0110860497013
 #34	6.41193678682	0.00609936345104	-0.000466701327282	-0.0015089757353	-0.00119917813257	-0.00134293277545	-0.00172171475352
 #344	7.78680245211	0.00245681151686	-0.000170390840793	-0.00055402992118	-0.000489559929611	-0.00041983248738	-0.000772316887363
 #37	7.59443055947	0.0062293764092	-0.000473051288146	-0.00169727987143	-0.00168471153779	-0.00297610287711	-0.00151424520921
 #373	8.75758136927	0.00340387957282	-0.00036432601536	-0.0011397995491	-0.00109958510159	-0.000892960562273	-0.00110145681111
 #374	8.00616528059	0.00336341941785	-0.000164180040321	-0.000742113038978	-0.000766901654031	-0.00231698649721	-0.000585208736844
 #3b	7.30362835968	0.00132619330833	-0.000259603811899	-0.00089655085908	-0.000384523666832	-0.000496280063564	-0.000383830627226
 #3c	7.04198326101	0.0101740593417	-0.00071191840195	-0.00256618626929	-0.00212613994961	-0.00213081159705	-0.00232867296517
 #3c4	7.11664478978	0.0100518078483	-0.000705269309892	-0.00244331540953	-0.00212320139926	-0.00201716513579	-0.00227660795417
 #3e	5.44703835588	0.0447643611346	-0.0094652632285	-0.010911442366	-0.0138188474696	-0.0115120592342	-0.0122004735696
 #3ea	5.49182195851	0.0446936129558	-0.00947680037581	-0.0108205278917	-0.0137968917782	-0.0114313170443	-0.0121043482471
 #3f	5.77797847765	0.00718664806723	-0.00144058238957	-0.00237961287338	-0.00246334600817	-0.0022504165069	-0.00290088696872
 #3f3	5.92436802522	0.00693641284843	-0.00143238101313	-0.00226491784457	-0.0023811274836	-0.00210400915571	-0.0027925412986
 #4	5.09813072585	0.029218695308	-0.00348422816509	-0.00864888461312	-0.00547849586255	-0.00474821169247	-0.00609776183458
 #44	6.84065875709	0.00392399154064	-0.000503570254917	-0.00176264659765	-0.00114034204453	-0.000953276897918	-0.00149746606481
 #444	6.90755299192	0.00370648255721	-0.000504743233249	-0.00166802409167	-0.00113909200068	-0.000948051694117	-0.00149744522339
 #49	6.82316559964	0.00959346043437	-0.000710402705939	-0.00208117525326	-0.00247944563312	-0.00176214037599	-0.00281334713635
 #495	6.85846338172	0.00956761602119	-0.000712989470716	-0.00208665699923	-0.00248788596242	-0.00176828638036	-0.00282409604037
 #4a	7.16427283877	0.00462931541313	-0.000375045232154	-0.00432201671781	-0.000945121548755	-0.0011744090978	-0.000954457305195
 #5	4.7026708763	0.0601252576451	-0.0150953981632	-0.027109620809	-0.0282858465337	-0.016934053506	-0.0284346048887
 #53	7.74235068954	0.00197097055135	-0.000681752664656	-0.000842470781329	-0.000979469181664	-0.0006591159393	-0.000716894959908
 #55	6.02581464155	0.00863295081171	-0.000698274305143	-0.00534277148645	-0.00213867560416	-0.00188092614727	-0.00277958010077
 #555	6.0548787745	0.00859334071249	-0.000699042622682	-0.00535958564574	-0.00214053677796	-0.00188439611344	-0.00278466139706
 #56	7.80206992425	0.00337967726367	-0.000289026555262	-0.000779979875016	-0.000646942256458	-0.000658087107471	-0.000682546373491
 #565	8.00616528059	0.00325326541419	-0.000281220770665	-0.000772485267368	-0.000649991397374	-0.000648655725717	-0.000681755990296
 #58	6.51687168	0.0109847483187	-0.000900318832684	-0.00362557805529	-0.00250589438743	-0.0034777130925	-0.00395026205295
 #586	7.14814345684	0.00377282252211	-0.000302517266119	-0.00140515967277	-0.000789523441609	-0.00151087854726	-0.00102568239736
 #58a	7.31301810003	0.00828752874704	-0.000681293338836	-0.00256712565679	-0.00193824855644	-0.00229998437617	-0.00331028166775
